Question,Answer
도로교통법 제39조 및 중대 교통사고 처벌법 준수와 관련하여 궁금한 점이 있으신가요?,"서울 시티투어 버스 시내만을 운행하는 노선버스이며, 당사에서는 승차정원 준수는 물론 차량의 cctv설치 등 안전에 관한 규정을 지키기 위해 많은 노력을 하고 있습니다."
혹시 법인 카드로 예약 시 카드매출전표를 받을 수 있나요?,법인 카드로는 결제할 수 없습니다.
개인카드로 선결제 후 탑승 당일 개인카드 결제 취소 후 법인 카드로 재결제 가능한가요?,"개인 카드로 선결제하고 예약 당일 매표소에서 법인 카드로 교체하실 수 있습니다. 당일 인원이 변경되지 않아 카드를 교체하는 경우 추가 수수료는 없지만, 취소하는 경우 취소 정책에 따라 수수료가 부과됩니다."
서울시티투어버스는 공휴일에도 운행하나요?,"일반적으로 버스는 공휴일에도 운영되며, 자세한 내용은 웹사이트를 참조하거나 문의하시기 바랍니다."
가이드가 포함된 스페셜 서울 시티 팩'을 계속 이용할 수 있나요?,특별 패키지에 대한 자세한 내용은 웹사이트의 '이벤트' 페이지를 참조하세요.
Is it possible to buy tickets on-site by just getting to stop number 1 before departure time?,"If you want a daytour, you can board on-site without reservation. For a Night tour, you must make a reservation in advance"
티켓 매표소는 어디에 있나요?,티켓 매표소는 서울 중구 세종대로 135 근처에 있습니다.
장애인 할인 있는지 궁금합니다.,현재 추가적 할인적용이되는 부분은 없습니다.
취소표 같은거 현장구매로 구입할 수 있는 가능성 있나요?,야경투어 취소표는 현장에서 구입은 가능합니다. 하지만 취소표가 발생할지 안할지의 여부는 가늠할 수 없습니다.
실물티켓은 광화문티켓박스에서만 교환가능할까요?,고객님 주말이나 연휴 이용시는 시작점에서 티켓을 수령하시고 탑승하시길 권해드립니다. 저희 버스는 선착순 서비스로 혹시나 시작점에서 인원이 너무 많은 경우 중간지점에서 입석으로 진행될 수도 있습니다.
가장 가까운 주차장은 어디인가요?,"근처 주차장은 모두 유료이며, 가장 가까운 주차장은 코리아니호텔 주차장 그리고 광화문 정동 주차장입니다."
운행차량이 궁금해요 2층버스1대와 1.5버스와 트롤리가맞나요?다른사람 블로거랑 다른거같아서요,저희는 2층버스가 메인이며 1.5층높이의 하이데커(half open)버스로 운행됩니다. 트롤리는 현재 운행되지 않는 버스 종류입니다.
청와대 관람 후 15번 버스정류장에서 버스를 타고 15->1->2->3 .. 순으로 투어가 가능한가요?,"고객님이 원하시는 대로 최종 종착정류장까지 도착하셨다가 다시 시작하실 수 있습니다. 다만, 최종 종착정류장 도착 후 30분 후 다시 출발하므로 대기시간이 발생됩니다."
2층에 앉는건 선착순인가요?,[예약순]으로 버스는 배정이 됩니다(2층 또는 1층)
대기번호표를 나눠주시는지 아니면 그냥 일찍가서 줄을서서기다려야 하는지 문의드립니다.,버스가 정해지면 당일 현장에 도착해 줄서있는 순서대로 탑승하게 됩니다
먼저 줄선 순이라면 줄은 언제부터 설수 있나요?,탑승은 출발 30분 전부터 시작됩니다.
Can you get back on the bus after getting off?,"During the time our bus is running, you can get off and on again as you wish."
장애인 할인될까요?,특정 장애인 할인은 없습니다. 할인 및 판매에 대한 최신 정보는 웹사이트에서 확인하세요.
티켓 교환이 필수인가요?,중간 탑승일 경우 버스탑승시 기사님께 예약자 성함만 말씀하시면 확인하고 티켓 발권해드립니다. 집회등으로 통제되는 구간이 있을시 안내를 받으셔야 되기 때문에 이용하는날 전화로 체크 부탁드립니다
첫 탑승 포인트가 꼭 광화문 티켓오피스려야 할까요.,"반드시 그럴 필요는 없지만 가능하면 첫 번째 정류장에서 시작하는 것이 좋습니다. 주말이나 연휴때에는 시작점부터 많은 고객님들이 탑승하시고 관광명소에서 대부분 하차하시므로, 호텔앞에서 탑승을 하는경우 간혹 입석이 되실 수도 있습니다."
제가 예약하고 외국 친구가 이용할 건데 문제가 없죠?,외국친구분을 대신해서 예약진행을 해주신다면 예약자분을 실 이용자(외국인)친구 분으로 진행해주시면 됩니다.
예약한 후에 꼭 광화문 부스에 찾아가서 표를 받아야 하나요?,저희 홈페이지에서 예약해주신 고객님들은 이용하시는날 매표소 방문하셔서.
Can we bring luggage on board the tour bus?,"You can usually bring a 25-inch bag on the first floor, but there may not be space for larger bags."
장애인 할인을 받을 수 있나요?,저희가 현재는 별도의 추가할인 진행이 없습니다. 사이트에서 진행되는 금액 그대로 확인 부탁드립니다.
실물 티켓 전날에도 발급 하는하나요?,저희 티켓은 사전발급 불가입니다.
실물 티켓 가지고 있으면 아무 종류장에 첫탑승가능한지 아니면 그래도 광화문 앞에서만 첫탑승가능하나요?,실물티켓을 구매 후 원하시는 중간 정류장에서 탑승은 자유로이 가능하십니다. (버스가 운행하는 시간내)
"If I have 72hour DSP, can I go on the first day of pass to collect tickets for bus tour on 2nd day so I can board the bus at another station on 2nd day nearer to my hotel?",Tickets must be used on the same day they are purchased.
Do I need to do anything besides a reservation to get a physical ticket at the ticket office?,You only need to provide the name on the reservation to recieve your physical ticket at the ticket office.
"남산타워 근방에 하차해서 자유시간 주실 때에, 재탑승을 안하고(버스를 남산타워까지만 이용하고) 개인적으로 귀가하고 싶은데, 가능할까요?",하지만 운전자에게 미리 알려야 합니다. 탑승할 때뿐만 아니라 하차할 때도 운전자에게 알려주세요.
Is there a way I can make a reservation for the night tour in advance without paying if I have the Discover Seoul Pass?,"Ticket purchases using the Discover Seoul Pass are only available on the day you want to use them, however night tours are only available if there are remaining seats on the day of use. Please contact us by phone in the morning of the day of use to check the availability of remaining seats."
Is it possible to reserve tickets for today?,"Tickets can be purchased for same day use at the Gwanghwamun Ticket Office which can be found at 135-7 Sejong-daero, Jung District, Seoul."
Do I still need  to reserve a slot even if I will do the night tour using discover seoul pass?,"If you have a Discover Seoul Pass you can't make a reservation in advance, tickets will be distributed on a first-come, first-served basis from the Gwanghwamun ticket office for use that day."
결제에 막혀 예약을 못 하겠어요. 외국인을 위한 오디오 서비스는 있는데 예약을 위한 외국카드 결재가 안되요.,죄송하지만 기술적인 문제는 도와드릴 수 없습니다. 추가 지원이 필요하면 문의해 주세요.
Is the bus operated all seven days of the week?,"We are closed on Mondays. However, if Monday is a public holiday, busses will be operated and we will instead be closed the next day (Tuesday)."
 How far is the Namsan Tower Stop is from Namsan Tower?,It takes about 5 minutes by walk from the Namsan Tower Stop to Namsan  Tower.
Are we allowed to bring stroller onto the bus?,"Yes, you are allowed to bring a stroller onto the bus."
ディスカバーソウルパス購入で、夜間バスに乗りたいのですが、予約はできますか？,Discover Seoul Passをご利用の場合、当日チケット売り場にお越しいただき、ご利用希望のコースのチケットをお受け取りいただけます。夜景コースの場合は残席がある場合のみ可能ですので、ご利用の際はご参考ください。（事前予約不可）
ディスカバソウルパスで夜景コースを予約するには、どのように予約すれば良いですか？,Discover Seoul Passをご利用の場合、当日チケット売り場にお越しいただき、ご利用希望のコースのチケットをお受け取りいただけます。夜景コースの場合は残席がある場合のみ可能ですので、ご利用の際はご参考ください。（事前予約不可）
근처에 하루 종일 차를 두고 갈 수 있는 주차장이 있나요?,"저희 주변으로는 무료주차장은 따로 없으며, 주변의 유료 주차장을 이용하셔야합니다. 가장 가까운 곳은 코리아나 호텔 (유료) 주차장입니다."
버스 종점은 어디인가요?,저희 버스는 순환형 버스로 시작과 종점이 동일합니다. 코스와 정류장에 대한 정보는 매표소에서 안내지로도 수령하실 수 있습니다.
어디에 주차하나요?,"저희 주변으로는 무료주차장은 따로 없으며, 주변의 유료 주차장을 이용하셔야합니다. 가장 가까운 곳은 코리아나 호텔 (유료) 주차장입니다."
Are the tourist spots accessible for wheelchairs?,"As far as I know, wheelchair movement is possible in most tourist attractions. If you are curious about the exact information, please contact the tourism information center in Seoul."
단체예약이 가능할까요?,단체 예약도 가능하지만 탑승시간은 지정되지 않기 때문에 선착순 탑승입니다.
"버스 1대를 온전히 대절하는 것이 가능한 지, 가능하다면 비용은 얼마나 될까요?","버스 1대를 대절할 경우 별도의 견적을 따로 받으셔야 되면 시간,인원,노선에 따라 다르기 때문에 전화 문의 주시면 견적 드리겠습니다."
단체예약 시 할인은 얼마나 가능할까요?,현재 단체 할인은 별도로 적용되지 않습니다.
첫차 9시30분 이렇게 적혀 있던데 그 차 못타면 40분 후 차를 처음으로 타도 되는거 맞나요?,"네, 도심*고궁 남산코스 (Tour1)은 오전 9시 30분부터 40분 간격으로 마지막 16시50분까지. 탑승시간을 정해서 타시는건 아니시고, 구매하신 티켓으로 차량이 운행하는 동안은."
What is the price for the city tour package?,"The price of the hotel packeges depends on current hotel pricing. For information regarding the hotel packages, please refer to the ""Events"" page on our website."
스페셜 시티팩은 외국인 대상인가요?,시티팩은 최소 모객인원이 20명 이상이 되야만 진행되는 상품입니다. 현재 같은 날짜에 이 인원의 모객이 어렵기 때문에 현재는 단체에게만 적용되는 상품으로 판매하고 있습니다. 만약 인원이 20명 이상일 경우는 별도 문의 부탁드립니다.
장애인 할인과 노약자 할인 같은건 없나요?,특정 장애 또는 노인 할인은 없습니다. 현재 판매 및 할인에 관한 최신 정보는 웹사이트에서 확인하세요.
티켓을어디서받아서면세점앞창구에서  또 교환수령해야나요? ,티켓은 광화문 티켓 박스에서 구매 및 교환할 수 있습니다. 자세한 위치 정보는 홈페이지를 참조하세요.
미리전날티켓수령은 안되나요?,"티켓은 매표소에서 이용당일 수령하시고 사용가능하시며, 전날 수령은 불가하십니다."
혹시 전통문화코스가 있던데 이곳은 다른곳인가요?,저희가 제공하는 코스는 서울 고궁*남산 코스입니다. 보신 전통문화 코스는 저희 코스가 아닙니다.
바퀴달린 브레드이발소시티투어버스 운행 여부 문의드립니다. ,"현재 브레드 버스는 정규차로 운행되지 않고 있습니다. 아직 재운행 여부는 없는 상태입니다, 혹시나 차후에 운행이 된다면 홈페이지를 통해 안내드리겠습니다"
예약을 하려고 하는데 장애인 할인을 위한 입력란이 없습니다. 원래 있어야 하는 항목인지 아니면 다른 방법으로 예약해야 하는지 헷갈리네요.,현재 구매금액 외 추가할인은 별도 진행되는것이 없습니다.
I wanted to know if wheelchairs are allowed on the bus?,"Wheelchairs are not available for second floor double-decker seats, but you can use the first floor of the double-decker bus."
전화 예약 후 현장 결제가능하나요?,일반적으로 예약을 하려면 결제가 필요합니다. 자세한 내용은 문의해 주세요.
지금 개인 카드로 온라인으로 결제한 후 현장에서 개인 카드 결제를 취소하고 법인 카드로 교체할 수 있나요?,개인카드로 결제 후 현장에서 카드교체하시기 바랍니
휠체어 서비스가 가능한지 궁금합니다.,휠체어 대여 서비스는 아직 준비돼 있지 않습니다. 개인 휠체어 이용시 2층 버스는 1층에 보관 가능합니다
서울역에서 버스에 탑승할 수 있나요?,저희 버스는 서울역 방면으로 운행하지 않습니다. 버스가 운행하는 노선의 정류장에서만 탑승이 가능합니다.
문화누리카드로 온라인 예약 가능한가요? ,문화누리카드 결제는 온라인으로 처리가 불가합니다. 현장에 오셔서 이용결제 부탁드립니다.
도심고궁코스 투어버스내에서 테이크아웃 음료 마실 수 있나요?,버스내 식음은 불가합니다.
12월 탑승하고자하는데 2층은 오픈하고 운행하나요?,"겨울에 2층 오픈은 차량이 달리는 동안 아무래도 추울 수 있습니다. 모자, 겉옷, 담요, 핫팩 등을 준비하시면 좋습니다."
Can I ride multiple circulations?,"Yes, the bus runs every  40 minutes and you can get on and off freely."
"Hi, what time does the ticket box in Gwanghwamun open?","Our ticket office opens at 9 a.m., but we are closed every Monday."
할인 혜택이 있나요?,추가 할인은 없습니다. 세일 및 할인에 대한 최신 정보는 웹사이트에서 확인하세요.
동생과 처제를 위해 예약했는데 탑승할 수 없습니다. 예약 번호만 확인해도 탑승이 가능한지 알 수 있나요?,예약자와 탑승자가 다르시더라도 탑승자분이 예약내용을 알고 계시면 확인 후 이용 가능하십니다. 이용하시는 날 예약하신 분의 성함과 전화번호로 예약확인 부탁드립니다.
I would like to check whether your bus passes Bukchon Hanok village and coex mall.,You can check the course on our website.
If I start the tour at 3pm on a Sat then can I use the tour bus until Sunday at 2:59 pm?,Tickets are only valid on the day they are purchased.
I would like to know if I have the Discovery Seoul card am I able to purchase the free tickets online or do I have to buy the tickets at your ticket office.  ,Seoul Discover Pass can only be used for ticket exchange on the same day at the ticket office.
"If I made a reservation in advance, how do I get the tickets?",You can pick up the ticket after checking your name at our ticket office on the day of use.
대표자 1명이 먼저 매표소에 도착하여 디스커버 서울패스 카드를 제출하면 단체를 대신하여 티켓을 발권할 수 있나요?,"예, 한 사람이 단체를 대신하여 예약할 수 있습니다."
디스커버 서울패스로 서울시청 남산 코스를 오전에 예약할 수 있나요?,"예, 오전에 교환한 항공권은 하루 종일 유효합니다."
서울투어버스 장애인 할인도 있나요?,특정 장애인 할인은 없습니다. 판매 및 할인에 대한 최신 정보는 웹사이트에서 확인하세요.
반려견을 동반할 수 있나요?,저희 버스투어는 반려동물 동반이 불가합니다.
온라인예매 매진시 현장발권 제한되나요??,현장발권은 선착순이며 대기줄이 생길 수도 있고 상황에 따라 판매중단이 생길 수도 있습니다.
야간투어 신청시 남산에서 포토타임으로 정차하였을때 하차하고 재탑승 하지 않아도 되나요?,"네, 가능합니다. 남산에서 재탑승 하시지 않을 경우 기사님께 꼭 말씀해 주세요"
탑승 전날 현장에서 디스커버 서울패스로 예매 가능할까요?,서울디스커버서울패스의 사용은 당일사용권에 대해서만 가능합니다.
"하루 1번 출발하는 야경투어버스가 남산에서 30분 정도 정차하는걸로 알고 있는데, 남산에서 아예 하차하고 귀가해도 되나요?",남산하차시 기사님께 투어마무리를 남산에서 하시겠다고 말씀주시면 됩니다.
Is the Panorama Course currently available?,"The Panorama course is still being prepared, and a rerun date has not yet been set."
혹시 장애인 할인은 없는지요?,현재 추가 할인 혜택은 없습니다. 판매 및 할인에 대한 최신 정보는 웹사이트에서 확인하세요.
혹시 미리 예약을 해두면 층수는 지정이 가능한건가요 ? 아니면 좌석 층수 전부 미지정인가요 ?,당일 도착하여 줄을 선 순서대로 좌석을 배정받게 됩니다.
주차할 곳이 있을까요?,주차장은 매표소 근처 유료 주차장을 이용하셔야 합니다. 시내 중심이기 때문에 다소 주차료가 비쌉니다. 가능한 대중 교통을 이용하시는게 좋겠습니다.
반려견과 함께 탑승 가능한가요? ,저희 버스이용은 반려동물 동반이 불가합니다.
반듯이 광화문 티켓박스에서 실물 티켓 교환 후 탑승해야 합니까? 예약하고 동대문에서  타면  안되나요?,이용고객이 많은날에는 광화문 탑승지에서 시작하시기를 권해드립니다. 중간 탑승시 입석으로 먼저 진행되실 수도 있습니다.
"파노라마코스에서 트롤리버스를 탈 수 있다고 들었는데, 준비중이라고 떠서요~ 운행 예정일이 언제인가요?",아직 파노라마 코스와 강남코스는 아직 정확한 운행 예정일이 없습니다. 확정되는데로 저희 홈페이지에 게시하겠습니다
휠체어를 가지고 버스 탐승이 가능한가요?,"이동이가능하신 경우 폴딩형 휠체어는 1층에 묶어두고 2층으로 이동해서 이용이 가능하십니다. 하지만, 휠체어로 탑승자체는 1층만 가능하시며 2층은 불가합니다."
空港に着いてそのままツアーバスに乗車したいのですが、キャリーバッグを持ったまま乗車は可能でしょうか。,可能です. スーツケースを持って乗るのが不便でしたら、チケット売り場に保管してください。
혹시 근처에 주차 할곳이 있을가요??,"근처 무료 주차장은 없고, 가장 가까운 주차장은 코리아나 호텔 주차장 이용 가능하십니다."
경로할인은 없나요?,저희는 지금 일반 판매가에서 할인된 금액으로 판매되고 있습니다. 중복 할인 적용은 따로 없으니 이용에 참고 부탁드립니다.
예약한 순서대로 2층버스 배정되는거면 예약순서는 어떻게 알수있나요?,"저희 야경코스는 예약시 좌석 점유는 확보가 되나, 버스 종류와 좌석번호는 따로 지정되지 않습니다. 버스 좌석은 이용일 선착순으로 탑승하셔서 원하시는 자리에 앉아 이용하시는 것입니다."
아직 예약하진 않았는데 혹시 투어 버스에 반려견 동반해도 괜찮을까요?,반려동물 동반은 불가합니다.
온라인에서 미리 예약 시 10% 할인 된다는 글을 봤는데 따로 할인 적용이 안되어 문의드립니다.,"현재 성인 주간 요금이 24,000원=>22,000원으로 할인된 가격으로 제공됩니다. 온라인과 오프라인 요금은 동일합니다. 다른 할인은 적용되지 않습니다. 할인 및 세일에 대한 최신 정보는 웹사이트에서 확인하세요."
할인 혜택이 있나요?,"현재 주간코스는 정상가 24,000원=>22,000원에 할인 판매하고 있습니다. 따라서 추가 할인은 현재 없는 상태입니다"
チケットは必ず光化門のチケット販売所で引き換える必要がありますか？,チケットは光化門のチケット売り場で交換しなければなりません。
バスに中型のスーツケースを一つ持ち込むことはできますか？,スーツケースはバスに持ち込むこともできますし、チケット売り場でお預かりすることもできます。
유모차를 가지고 탑승가능한가요?,유모차는 접어서 휴대하시면 됩니다.
6번 N서울타워 정류장 위치가 정확히 어떻게 되는건지요? 남산케이블카 승하차장소와 어느 정도 거리인지 문의드립니다.,버스 노선에 대한 자세한 내용은 웹사이트를 참조하세요.
How long are tickets good for after purchase?,Tickets are good for the whole day. Restarting the course is possible.
장애인할인  없나요?,"현재 성인요금 정상가 24,000원=> 할인가 22,00원이며, 별도의 추가할인은 없습니다."
예약하고 싶습니다. 안내 원합니다.,예약은 웹사이트를 통해 온라인으로 할 수 있습니다.
탑승시 폰에 구매내역으로 탑승할수있나요,예약 완료후 실물 티켓을 반드시 수령하신후 탑승 하셔야 합니다. 저희 매표소 위치는 광화문역 6번 출구 코리아나 호텔 대로변에 위치해 있습니다
시티투어 버스 예약했는데요. 그 전날이나 전전날 티켓수령 미리도 가능한가요?,버스티켓은 이용하시는날 매표소에서 당일 수령만 가능하십니다.
Is it possible to receive tickets the day before or the day before?,Bus tickets can only be received on the same day at the ticket office on the day you use them.
예약하여 타고 싶은데 일정을 어떻게 잡을지 잘 몰라서요. 시티투어 버스는 야경도 괜찮습니다. 추천 부탁드립니다.,야경투어는 사전 예약이 필요한 상품입니다. 이용 가능한 날짜 및 예약 방법은 홈페이지에서 확인하시기 바랍니다.
"I want to make a reservation with a good night view, but I don't know how to schedule it.",Night view tour is a product that requires a reservation in advance. Please check the website for available dates and information on how to make a reservation.
If we want to book your night Tour with a Discover Seoul Pass.,"For Discover Seoul Pass reservations are not available in advance, you will have to come to the Gwanghwamun ticket office and recieve our bus tickets with the Discover Seoul Pass on the day you want to use it. In the case of night view, there may be no seats available on the day you want to use."
どのバス停からでもスタートできますか？その場合、バスの運転手からチケットを買うことはできますか？,どの停留所でも乗車可能で、バスの運転手からチケットを購入することができるが、途中の停留所がわかりにくかったり、すでにバスが混雑していることもあるので、光化門の最初の停留所から乗車することをお勧めする。
"Can I start from any bus stop? If so, can I buy tickets from the bus driver?","It is possible to board at any stop and purchase a ticket from the bus driver, though we recommend starting from the first stop in Gwanghwamun since intermediate stops may be difficult to find or the bus may already be busy."
현재 바퀴 달린 빵집 바버를 사용할 수 있는지 알려주세요.,현재 브레드이발소 운행은 임시중단 상태입니다. 추후 진행여부는 아직 내부 논의중으로 아직 미정입니다.
Can you tell me if the bakery barber on wheels is currently available?,"Currently, Bread Barber Shop is temporarily suspended. The future of the program is still under internal discussion."
예약이 가능한가요? 비용은 얼마인가요?,시티팩은 최소 모객인원이 20명 이상이 되야만 진행되는 상품입니다. 현재 같은 날짜에 이 인원의 모객이 어렵기 때문에 현재는 단체에게만 적용되는 상품으로 판매하고 있습니다.
Is it possible to reserve the special seoul city pack?,"City Packs require a minimum group size of 20 people to be eligible. Currently, it is difficult to gather this number of people on the same date, so we are currently selling it as a product for groups only."
"차를 가지고 가려고 하는데 주차할때 있을까요?""",저희가 따로 주차장이 구비되어있는 공간은 아닙니다. 근처에 가까운 곳으로는 코리아나 호텔 유료주차장 이용이 가능하십니다.
"I want to take my car with me, do you have a parking space available?","We do not have our own parking space, but the closest parking is available at the Koreana Hotel paid parking lot."
Seoul Discovery Pass 이용하는 사람입니다. 혹시 야경코스 탑승권을 당일 말고 하루 전에 수령해도 되나요?,티켓 수령은 이용하는 당일만 교환 가능합니다.
티켓을 미리 구매하여 선물할 수 있나요?,이용하고자 하시는 분이 예약진행하신 정보를 정확하게 아신다면 이용가능하십니다. 티켓은 이용하시는 날 광화문 매표소에서 지류티켓으로 교환 후 사용가능하십니다.
미리 예약하면 2층 좌석 배정 받는건가요?,좌석은 선착순으로 배정됩니다. 1층 좌석이 만석인 경우 2층 좌석은 사전 예약을 한 사람들로 채워지는 경우가 많습니다.
"If I book in advance, will I get a seat on the second floor?","Seating is given on a first come first serve basis. Second floor seating is often filled by people with advance reservations, if it is full seating on the first floor is available."
행사 당일 티켓 박스가 열리면 티켓을 구매할 수 있나요?,저희 자체 홈페이지및 외부업체 사이트도 당일 구매는 예약이 안됩니다. 당일은 저희 광화문 매표소로 오셔서 구매하셔야 하며 가격은 인터넷가와 동일합니다.
Will I be able to purchase tickets on the day of the event when the ticket box opens?,We do not accept reservations for same-day purchases on our own website or external websites. You will have to come to Gwanghwamun Ticket Office to purchase on the day and the price will be the same as the online price.
예약하려고하는데 간식을 버스에서 먹어도 될까요?,버스내 음식 반입 및 섭취는 불가합니다.
Can I have a snack on the bus?,Food cannot be eaten on the bus.
야경투어버스를 예약하려는데  2층 오픈카인가요?,"야경의 경우 메인버스는 2층 버스이지만, 그 외 하이데커(1.5층 높이)의 버스도 추가적으로 같이 운행됩니다. 버스배정은 예약이 들어온 순서대로 진행되며, 이용당일 오전 문자로 안내받으실 수 있습니다."
"I want to reserve a night tour bus, is it an open car on the 2nd floor?","For night viewing, the main buses are double-decker buses, but additional high-decker (1.5-story high) buses are also available. Bus assignments are made in the order in which reservations are received, and you will be notified by text the morning of your trip."
"I have seen on your web site that holders of Discover Seoul Pass can take your buses for free, is this correct?","With Discover Seoul Pass you can take one of our courses for free. However, reservations are not available in advance, and you have to come to the Gwanghwamun ticket office and exchange our bus tickets with the Discover Seoul Pass on the day you want to use it. In the case of night view, there may be no seats available on the day you want to use."
当日はチケットは何時から買えますか？,当日のチケット売り場は午前9時にオープンします。オープンと同時にチケットの購入は可能です。
前日にチケットを買うことはできますか？,オンライン予約を除き、現地購入では当日使用のチケットのみご購入いただけます。
チケット売場でチケットを買わずに、直接バスに乗って、バスの運転手からチケットを買うことはできますか？,運転手さんからチケットを購入できます。 しかし、最近は休みや休暇シーズンで混雑しているため、ご購入に不便をおかけしますので、なるべく
최초 탑승시 반드시 광화문 티켓박스에서 티켓 교환이 이루어져야 하는지 궁금합니다. 다른 정류장 또는 버스 내에서 티켓 확인 후 최초 탑승이 가능한지 알려주시면 감사하겠습니다.,원래 출발지에서 출발하는 것이 좋습니다. 인원이 많을 경우 중간 승차가 어려울 수 있습니다. 중간 정류장에서 탑승하려면 탑승 시 기사에게 예약을 확인한 후 티켓을 요청하세요.
야경코스에서 남산N타워 포토타임 중에 하차할 수 있는지 문의드립니다.,야경코스 이용시 남산타워 포토타임 30분 자유시간 드립니다. 자유시간내 하차하셔서 사진 찍고 정해진 시간까지 다시 탑승해주시면 됩니다.
장애인 할인을 받을 수 있는지 알고 싶어요.,"현재 정상가 24,000원=>22,000원에 판매하고 있기 때문에 추가 할인은 적용되지 않습니다."
현금 외에 티머니 카드나 후불 신용카드를 사용할 수 있나요?,고객님 버스탑승시 결제는 기사님께 신용카드나 현금으로 가능합니다. (티머니카드 제외)
광화문 지점 외에 다른 매표소가 있나요?,매표소는 광화문점만 운영중이니 참고 부탁드립니다.
Hi where is Gwanghwamun ticket office ?,"To get to the Gwanghwamun ticket office, you can go to Exit 6 of Gwanghwamun Station in the subway station. For specific directions, please refer to our website."
I plan to buy the discovery seoul pass and want to use the night tour for seoul city tour bus. How and where do I make a reservation for a certain night?,"Tickets can only be purchased at the ticket office on the same day using the Seoul Discovery Seoul Pass. Reservations are not available in advance, so if you want a night view, please come to the ticket office (Gwanghwamun) on the day of use and proceed with the purchase. Please understand that the night view tour may be closed due to a limited number of seats."
남산타워 정류장에서 내리면 걸어서 올라가거나 케이블카를 타고 올라가야 남산타워인가요?,저희 버스를 이용하여 남산타워에 가시는 경우 케이블카 이동이 필요하지 않습니다. 남산타워버스정류장 하차 후 걸어서 5분~10분이면 도착하실 수 있습니다.
Can I bring luggage onto the tour bus?,"It may vary depending on the size of your luggage. If you take your luggage with you, you should leave it on the first floor. It may not be possible if the baggage is large."
